district Name,score,rank
Raigad,528.514,1
Gondia,518.254,2
Nashik,513.504,3
Nagpur,493.302,4
Pune,492.041,5
Washim,483.969,6
Palghar,480.807,7
Kolhapur,480.64,8
Solapur,472.255,9
Bhandara,468.499,10
Sangli,464.042,11
Jalgaon,463.719,12
Satara,459.997,13
Akola,458.675,14
Amravati,455.887,15
Wardha,451.264,16
Ratnagiri,443.326,17
Jalna,441.28,18
Chhatrapati Sambhajinagar,438.712,19
Chandrapur,436.584,20
Hingoli,435.978,21
Thane,435.39,22
Buldhana,435.098,23
Sindhudurg,434.262,24
Yavatmal,431.164,25
Parbhani,428.526,26
Ahmednagar,426.269,27
Latur,418.61,28
Nanded,415.822,29
Mumbai,408.325,30
Beed,400.699,31
Dharashiv,399.852,32
Gadchiroli,397.745,33
Dhule,394.916,34
Nandurbar,385.686,35
Mumbai Suburban,368.107,36
