Sector no,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Economic Governance and Financial Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Districts,Growth in Per Capita GDDP,Financial Inclusion under Jan Dhan Yojana (% increase in No frill accounts),% of SHGs Linked to Banks,Total Disbursement of Mudra Loan per One Lakh Population,District Plan Expenditure (General + SCP + TSP + OTSP) against Budgeted,Unspent Balance of DPC Fund with Local Bodies Against Allotted DPC Budget to that ,% of Total Revenue Income to Revenue Expenditure (ULBs)   ,Publication of ULBs Annual Accounts in Time   ( FY  2021-22 ),Growth in Own Revenue Income,% of Property Tax Collection,,,,,,,,,,,,,,,,,,EG&FI Score,Rank
Ahmednagar,1.778,5.052,1.703,4.763,7.488,3.927,6.933,7.5,1.488,2.805,,,,,,,,,,,,,,,,,,43.437,22
Akola,2.805,4.473,4.327,3.547,7.496,2.86,3.53,6.429,7.205,2.348,,,,,,,,,,,,,,,,,,45.021,19
Amravati,1.135,5.078,5.642,4.064,7.485,4.768,4.647,7.5,4.874,6.745,,,,,,,,,,,,,,,,,,51.938,9
Chhatrapati Sambhaji Nagar,1.197,6.286,3.286,6.933,2.343,3.429,4.062,5.833,4.267,0,,,,,,,,,,,,,,,,,,37.636,34
Beed,0.376,4.227,2.482,1.845,7.465,2.606,2.662,6.136,6.017,7.587,,,,,,,,,,,,,,,,,,41.404,26
Bhandara,0.8,0,4.11,4.353,0.557,7,5.803,7.5,2.937,7.711,,,,,,,,,,,,,,,,,,40.771,30
Buldhana,3.5,4.228,3.647,4.376,7.5,2.448,3.808,7.5,2.782,4.772,,,,,,,,,,,,,,,,,,44.562,20
Chandrapur,1.296,4.609,3.646,2.791,7.443,7.308,3.689,7.5,4.257,7.53,,,,,,,,,,,,,,,,,,50.069,12
Dhule,0.691,2.073,3.859,3.737,5.363,1.073,5.391,6,5.971,6.724,,,,,,,,,,,,,,,,,,40.88,28
Gadchiroli,1.195,4.529,2.997,0.705,5.717,3.79,7.5,6.875,3.089,5.948,,,,,,,,,,,,,,,,,,42.345,25
Gondia,0.98,10,3.513,4.527,7.5,4.564,6.637,7.5,0.96,6.032,,,,,,,,,,,,,,,,,,52.214,8
Hingoli,15,7.31,3.316,5.044,7.48,2.745,3.065,7.5,5.086,9.598,,,,,,,,,,,,,,,,,,66.144,1
Jalgaon,0,5.935,4.554,4.981,6.369,5.381,6.947,7.5,6.861,5.581,,,,,,,,,,,,,,,,,,54.11,5
Jalna,1.573,4.841,4.906,5.438,1.833,5.463,3.975,7.5,6.901,1.209,,,,,,,,,,,,,,,,,,43.64,21
Kolhapur,1.471,5.41,7.416,7.381,1.749,7.449,0,7.5,0.864,6.849,,,,,,,,,,,,,,,,,,46.088,16
Latur,1.887,3.797,4.702,4.896,0,2.623,3.82,7.5,2.823,5.695,,,,,,,,,,,,,,,,,,37.742,33
Mumbai,1.116,4.21,0,10,5.161,7.5,4.132,0,13.761,10,,,,,,,,,,,,,,,,,,55.88,3
Mumbai Suburban,1.555,10.403,1.066,0.071,9.496,12.049,,,,,,,,,,,,,,,,,,,,,,34.639,36
Nagpur,1.184,6.362,4.716,9.69,2.967,3.094,3.671,7.143,2.181,1.789,,,,,,,,,,,,,,,,,,42.798,23
Nanded,2.287,4.92,4.155,8.318,0.632,2.589,4.187,7.059,2.915,2.656,,,,,,,,,,,,,,,,,,39.717,31
Nandurbar,0.608,8.518,3.513,0.419,7.454,5.255,5.886,7.5,3.319,2.883,,,,,,,,,,,,,,,,,,45.355,18
Nashik,0.695,4.454,2.27,2.838,2.198,4.722,6.615,7.083,8.462,3.073,,,,,,,,,,,,,,,,,,42.411,24
Dharashiv,2.364,3.922,4.702,4.311,2.628,0,3.124,7.5,0,8.674,,,,,,,,,,,,,,,,,,37.225,35
Palghar,0.912,,1.473,0,7.9,6.335,7.155,7.535,5.244,4.374,,,,,,,,,,,,,,,,,,40.927,27
Parbhani,1.674,4.334,3.449,3.243,2.369,7.474,5.401,7.5,3.242,2.159,,,,,,,,,,,,,,,,,,40.844,29
Pune,1.339,4.346,4.237,5.36,7.488,7.302,3.59,7.083,7.458,5.172,,,,,,,,,,,,,,,,,,53.375,7
Raigad,1.166,5.819,10,2.631,5.656,3.856,5.87,7.059,15,0.469,,,,,,,,,,,,,,,,,,57.525,2
Ratnagiri,1.493,5.77,4.12,3.541,5.854,2.698,4.331,7.5,3.699,6.628,,,,,,,,,,,,,,,,,,45.634,17
Sangli,1.41,5.42,9.175,5.273,2.511,7.452,3.792,7.5,5.871,5.471,,,,,,,,,,,,,,,,,,53.876,6
Satara,1.627,3.554,1.47,3.917,7.383,7.442,5.827,7.5,5.055,6.401,,,,,,,,,,,,,,,,,,50.177,11
Sindhudurg,1.619,4.591,8.747,4.685,5.598,0.456,4.185,7.5,4.836,9.449,,,,,,,,,,,,,,,,,,51.667,10
Solapur,1.395,5.033,4.47,6.27,7.497,7.457,6.455,7.083,4.529,3.947,,,,,,,,,,,,,,,,,,54.138,4
Thane,1.091,6.206,0.985,1.47,4.587,3.15,5.828,5.25,7.069,2.681,,,,,,,,,,,,,,,,,,38.317,32
Wardha,3.193,5.442,5.569,7.499,3.596,4.541,3.273,7.5,2.598,5.502,,,,,,,,,,,,,,,,,,48.714,14
Washim,4.122,3.788,3.932,5.01,7.499,3.549,2.972,7.5,2.463,7.746,,,,,,,,,,,,,,,,,,48.581,15
Yavatmal,2.896,4.931,2.329,6.918,3.616,5.421,5.322,7.5,3.638,6.915,,,,,,,,,,,,,,,,,,49.486,13
