Sector no,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Districts,Total No. Of Cities with AQI Between 51-100,Percentage Increase in Forest Cover and Tree Cover,% of Treatment of Solid Waste Generated to Total Solid Waste Generation,Percentage of Treatment of Sewage Water to Total Wastewater Generation,Average Rise/Drop in Water Table in Ground Water Sources,Percentage of  Villages implementing Water Quality Testing Governance Standards,Percentage of PAPs (Project Affected Persons) Certificate Issued,Percentage of PAPs (Project affected persons) Alternate Land / Plot Allotment Cases Cleared,Percentage of Public Green Buildings,,,,,,,,,,,,,,,,,,,EN Score,Rank
Ahmednagar,0,3.762,9.766,2.431,2.685,12.12,,,0,,,,,,,,,,,,,,,,,,,30.764,29
Akola,0,3.035,0,0,4.082,9.961,5.168,3.462,0,,,,,,,,,,,,,,,,,,,25.708,33
Amravati,0,3.016,11.212,0.257,8.918,9.073,6.336,7.479,0,,,,,,,,,,,,,,,,,,,46.291,12
Chhatrapati Sambhaji Nagar,0,3.3,13.13,0.144,10.771,9.269,8.438,,0.784,,,,,,,,,,,,,,,,,,,45.835,13
Beed,0,0,13.371,0,2.269,3.857,0.093,0,0.192,,,,,,,,,,,,,,,,,,,19.781,35
Bhandara,0,10,14.344,0,5.555,8.869,3.805,0,1.783,,,,,,,,,,,,,,,,,,,44.355,14
Buldhana,0,3.015,12.357,1.043,5.146,8.295,6.052,7.5,0,,,,,,,,,,,,,,,,,,,43.409,15
Chandrapur,0,2.993,12.864,0,5.345,8.746,5.549,0,1.724,,,,,,,,,,,,,,,,,,,37.221,23
Dhule,0,2.964,12.372,0.871,8.34,10,7.451,7.451,0,,,,,,,,,,,,,,,,,,,49.449,3
Gadchiroli,0,2.99,12.377,0,5.194,8.686,3.103,0,0,,,,,,,,,,,,,,,,,,,32.351,27
Gondia,0,3.045,12.364,0,0.301,9.228,7.5,0,5.456,,,,,,,,,,,,,,,,,,,37.895,21
Hingoli,0,3.323,13.126,3.547,7.26,10.632,7.189,,1.888,,,,,,,,,,,,,,,,,,,46.965,10
Jalgaon,0,3.685,15.88,0.441,5.048,5.035,,,0,,,,,,,,,,,,,,,,,,,30.09,32
Jalna,0,3.041,11.781,0,5.825,8.98,8.438,,0.305,,,,,,,,,,,,,,,,,,,38.369,20
Kolhapur,0,3.001,12.086,7.871,5.813,9.172,7.371,7.371,0.669,,,,,,,,,,,,,,,,,,,53.355,2
Latur,0,3.246,0.579,0,0,9.907,7.45,2.5,10,,,,,,,,,,,,,,,,,,,33.682,26
Mumbai,0,5.408,11.554,12.451,,,,,0.761,,,,,,,,,,,,,,,,,,,30.174,31
Mumbai Suburban,0,9.492,,,,,,,1.418,,,,,,,,,,,,,,,,,,,10.91,36
Nagpur,0,2.991,12.219,8.823,5.241,9.407,7.42,0,2.661,,,,,,,,,,,,,,,,,,,48.763,5
Nanded,0,3.029,12.235,4.704,7.012,9.695,0,0,1.049,,,,,,,,,,,,,,,,,,,37.724,22
Nandurbar,0,3.023,9.822,4.412,10,10,0.736,4.266,0,,,,,,,,,,,,,,,,,,,42.259,18
Nashik,0,3.044,12.389,11.079,6.648,10,3.701,0,0.079,,,,,,,,,,,,,,,,,,,46.939,11
Dharashiv,0,3.445,6.375,0,2.67,8.984,1.204,,0.264,,,,,,,,,,,,,,,,,,,22.941,34
Palghar,0,,5.377,1.315,,9.669,6.412,9.163,0,,,,,,,,,,,,,,,,,,,31.936,28
Parbhani,0,2.567,11.835,0,2.576,6.211,1.037,6.489,0,,,,,,,,,,,,,,,,,,,30.715,30
Pune,0,3.028,12.355,9.729,6.277,8.265,3.844,3.844,0.202,,,,,,,,,,,,,,,,,,,47.545,8
Raigad,0,3.045,12.367,15,2.76,8.997,2.664,3.423,0,,,,,,,,,,,,,,,,,,,48.257,6
Ratnagiri,0,3.044,11.329,0,6.5,9.755,0.254,6.035,0,,,,,,,,,,,,,,,,,,,36.916,24
Sangli,0,3.025,12.653,6.035,7.453,10,7.255,7.255,0,,,,,,,,,,,,,,,,,,,53.677,1
Satara,0,3.02,12.37,2.766,7.765,9.646,6.024,6.024,0.302,,,,,,,,,,,,,,,,,,,47.916,7
Sindhudurg,0,3.14,12.217,0,6.271,9.886,1.071,3.424,0,,,,,,,,,,,,,,,,,,,36.01,25
Solapur,0,2.956,11.812,6.412,5.423,9.37,6.551,6.551,0,,,,,,,,,,,,,,,,,,,49.075,4
Thane,0,3.041,11.042,0,5.606,10,7.419,5.975,0,,,,,,,,,,,,,,,,,,,43.083,16
Wardha,0,3.02,15,0,5.833,7.554,6.827,0,1.626,,,,,,,,,,,,,,,,,,,39.859,19
Washim,0,2.994,12.352,2.003,5.552,9.829,7.012,7.5,0,,,,,,,,,,,,,,,,,,,47.241,9
Yavatmal,0,3.02,10.915,0,6.193,9.166,6.697,6.512,0,,,,,,,,,,,,,,,,,,,42.502,17
