Sector no,4,,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Public Health,,,,,,,,,,,,,,,,,,,,,,,,
Districts,Percentage of Full Immunisation,Percentage of Institutional Delivery,Percentage of Sub-centres / PHCs converted into Health & Wellness Centres (HWCs),Availability of Doctors at PHCs / HWCs,Percentage of Pregnant Woman Received 4 or More Complete ANC check-ups + TT2/Booster + 180 IFA,"Proportion of Functional FRUs (First Referral Units) against the norm of 1 per 500,000 Population (1 per 300,000 in hilly areas)",Percentage of Household covered under Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY) and Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (AB-PMJAY) Scheme,Sex Ratio at birth,ASHA worker per 500 Population in Tribal and 1000 population in non-tribal,Ratio of Block Facilitator for PHC ,Percentage of Baby Care Kit distributed against the birth,No. of Hospital Beds per 1000 Population (Public and govt. supported hospitals only),Percentage of Low Birth Weight Children,% of pregnant women (aged 15-49) years who are anaemic,% of woman who took Full ANC check-up out of total pregnant woman,% of woman who took post-natal check-up between 48 hrs and 14 days of delivery,Infant Mortality per thousand births,Maternal Mortality Per thousand deliveries,Prevalence of Anaemia ,Episodes of Diarrhoea and Dysentery in community,Annual Parasitic Index (API) (Malaria),"a) number of Physicians b) number of nurses/ midwives per 10,000 population",Percentage of children aged 0 to 5 years according to nutrition grades,PH Score,Rank
Ahmednagar,3.799,7.18,4.417,3.748,2.5,3.75,1.465,1.259,1.236,0.524,0.7,0.063,2.059,0.93,5,2.291,8.012,9.668,0.693,0,2.5,0.253,2.039,64.083,3
Akola,3.328,9.178,2.944,2.904,2.238,3.438,0.823,1.749,0.133,0.698,2.146,0.414,1.064,0.933,4.476,0.976,0,8.129,1.849,2.429,2.5,0.424,1.794,54.566,26
Amravati,3.088,7.524,3.266,4.162,0.619,5,1.25,2.802,0.666,0.758,1.622,0.877,1.592,0.679,1.237,1.43,5.437,8.444,2.5,1.954,2.5,0.716,1.724,59.848,14
Chhatrapati Sambhaji Nagar,3.295,8.616,3.541,4.219,2.179,1.429,1.583,2.926,0.047,0.58,0.692,0.47,1.32,1.55,4.358,2.262,6.679,7.8,1.554,2.141,2.5,0.784,1.768,62.294,8
Beed,4.061,10,3.37,3.705,2.136,4.219,2.5,2.044,0.066,0.569,0.712,0.335,2.028,0,4.273,0.66,6.493,9.191,0.558,1.78,2.5,0.261,1.922,63.383,5
Bhandara,2.205,5.618,2.083,3.145,1.662,5,0.982,0.91,0.1,0.381,1.712,1.229,0.76,2.003,3.324,2.017,7.05,10,2.28,2.419,2.497,0.861,1.769,60.006,13
Buldhana,3.405,6,1.086,4.442,1.456,5,0.659,1.085,2.5,0.542,1.703,0.598,2.143,1.455,2.913,2.177,8.916,9.898,1.035,2.226,2.484,0.186,1.566,63.477,4
Chandrapur,4.541,1.711,2.192,3.615,2.044,5,0.848,2.584,0.705,0.808,2.5,1.793,0.42,2.5,4.089,1.459,2.896,6.684,0.979,2.46,2.484,0.818,1.62,54.749,25
Dhule,4.063,6.646,3.539,1.659,2.082,0.313,1.525,1.384,0.423,0.963,0.958,0.612,1.566,0.207,4.164,1.077,6.247,8.979,0.894,2.444,2.5,0.522,1.207,53.974,28
Gadchiroli,2.992,3.777,1.661,2.74,2.406,5,0.928,2.56,1.231,1.182,1.991,1.006,0,1.319,4.811,1.947,3.46,7.818,1.416,1.183,0,0.66,1.244,51.33,31
Gondia,4.762,4.086,3.937,4.077,1.205,5,1.219,4.356,0.571,0.623,1.686,1.87,0.583,1.968,2.411,1.834,3.928,8.681,2.37,2.396,2.417,1.143,1.609,62.732,7
Hingoli,4.391,0.92,4.986,5,0.978,5,1.52,0.776,0.106,0.675,0.748,1.213,1.843,1.069,1.956,1.979,6.345,9.682,0.627,2.456,2.5,0.82,1.556,57.146,22
Jalgaon,3.503,8.922,3.468,2.515,2.041,1.875,1.449,1.689,0.544,0.585,0.611,0.124,1.921,0.822,4.081,1.316,6.945,8.869,1.21,2.21,2.5,0.188,1.88,59.266,15
Jalna,3.423,6.018,2.957,2.224,2.129,1.875,1.163,0,0.061,0.534,0.885,0.818,1.957,0.839,4.259,0.541,9.31,9.953,1.06,2.484,2.5,0.45,1.798,57.238,21
Kolhapur,2.726,2.788,5,2.543,1.724,3.295,1.592,1.249,0.109,0.601,0.724,0.346,1.869,1.628,3.448,2.166,7.937,9.464,1.957,1.631,2.5,0.546,2.065,57.909,19
Latur,3.382,8.261,2.314,2.643,2.155,5,0.867,2.763,0.118,0.509,0.743,1.729,1.829,1.074,4.31,1.455,9.428,7.429,1.814,1.311,2.5,1.481,1.766,64.881,2
Mumbai,0.545,0,,,0.887,4.756,0.231,2.792,,,1.253,5.789,1.033,2.79,1.561,0,0.145,0,3.277,3.289,3.163,5.789,2.421,39.721,36
Mumbai Suburban,0.603,0,,,0,6.406,0.275,2.91,,,,0.607,2.579,3.672,0,1.338,9.997,10.553,,,3.906,0.66,2.857,46.363,34
Nagpur,3.01,4.139,0.682,3.994,2.169,5,1.505,3.438,0.8,0.545,1.823,0.725,1.071,2.014,4.338,1.148,2.705,4.828,1.748,2.5,2.5,0.833,1.842,53.354,29
Nanded,3.057,8.455,3.444,4.379,1.989,3.214,1.608,4.784,0.282,0.094,1.132,0.585,2.5,1.78,3.978,0.307,9.392,9.165,0.391,0.69,2.497,0.132,1.76,65.614,1
Nandurbar,3.582,7.875,3.025,3.23,0.177,0,1.545,3.079,0.435,1.335,0,0.401,0.852,0.05,0.353,1.002,1.694,6.295,1.471,2.247,2.5,0.429,0.499,42.076,35
Nashik,3.373,6.358,2.501,4.866,1.506,4.063,0.805,2.075,0.538,0.7,0.369,0.499,1.589,1.287,3.012,1.46,7.975,8.413,1.977,0.762,2.5,0.022,1.608,58.255,18
Dharashiv,4.538,2.544,3.512,1.198,2.073,3.958,1.498,1.133,0.068,0.25,0.579,0.581,1.928,1.72,4.147,1.633,8.663,9.98,0.816,1.82,2.5,0.415,2.046,57.602,20
Palghar,4.445,2.512,3.81,4.157,1.683,5,1.182,2.261,0.605,2.5,0.392,0.381,0.637,1.526,3.367,1.82,8.266,9.24,1.545,2.294,2.5,0.544,1.349,62.017,11
Parbhani,3.233,7.607,4.541,0,0.863,1.875,1.966,2.218,0.051,0.317,0.718,0.743,2.288,1.25,1.726,0.449,9.213,9.402,0.465,2.098,2.5,0.433,1.491,55.445,23
Pune,4.665,6.084,4.383,3.285,1.757,4.219,0,1.264,1.276,0.372,0.627,0.542,1.468,1.293,3.514,1.535,9.343,8.227,1.521,1.26,2.5,0.579,2.369,62.083,10
Raigad,4.104,6.72,0.377,2.735,1.859,2.917,1.517,5,0.064,0.47,0.848,0.332,1.797,2.064,3.719,2.154,8.928,8.854,1.108,1.948,2.455,0.138,2.098,62.207,9
Ratnagiri,2.401,4.252,2.122,2.9,2.149,1.875,1.274,3.381,0.119,0.044,0.599,0.449,1.292,1.98,4.298,1.985,6.222,9.141,0.726,2.267,2.5,0.661,1.873,54.511,27
Sangli,4.962,2.301,4.487,2.373,1.83,2.917,0.505,0.018,0.103,0.329,0.562,0.199,1.743,1.666,3.66,1.619,4.489,7.891,0,2.22,2.497,0.915,2.049,49.33,32
Satara,3.731,3.804,3.433,2.621,2.082,5,1.405,1.178,0.114,0.403,0.341,0,1.286,1.226,4.164,1.845,8.92,9.494,1.068,1.937,2.497,0.058,2.182,58.788,17
Sindhudurg,0,1.616,1.607,0.247,2.234,2.917,1.478,1.881,0.121,0,0.247,1.223,1.015,0.205,4.467,2.5,8.655,9.474,1.242,1.775,2.497,1.407,0.952,47.759,33
Solapur,5,6.422,2.838,3.505,1.778,3.75,1.052,0.9,0.089,0.54,0.374,0.259,1.605,1.787,3.556,1.598,7.116,8.228,1.334,2.462,2.5,0.444,1.894,59.031,16
Thane,4.277,1.818,0.387,2.859,1.121,5,0.145,3.987,0.493,1.159,0.914,0.224,1.459,1.486,2.241,1.698,7.585,8.742,0.98,1.691,2.471,0.02,1.663,52.422,30
Wardha,3.141,3.252,3.414,3.984,2.167,5,0.775,0.918,0.153,0.496,1.264,2.388,1.505,1.714,4.335,2.443,5.85,7.935,1.734,2.446,2.5,1.847,1.414,60.674,12
Washim,3.357,3.065,0,3.615,1.824,5,1.675,1.525,0.099,0.515,0.553,0.555,1.515,0.464,3.649,0.865,7.522,9.463,2.498,2.469,2.484,0.455,1.759,54.926,24
Yavatmal,3.092,3.004,3.033,3.901,2.054,5,0.679,2.924,0.764,0.797,1.992,0.591,2.172,0.86,4.108,1.993,10,7.851,1.446,2.28,2.497,0.846,1.45,63.333,6
