Sector no,5,,,,,,,,,,,,,,,,,,,,,
Sector name,Public Infrastructure & Utilities,,,,,,,,,,,,,,,,,,,,,
Districts,Per capita per day water availability (LPCD),% of houses completed under the Pradhan Mantri Awaas Yojana (PMAY-Gramin),% of houses completed under the Pradhan Mantri Awas Yojana (PMAY) (Urban),Percentage of Households with Access to Safe Drinking Water within premises,Percentage of Aanganwadis Centres (AWCs) with tap water supply,Percentage of Households with Improved Sanitation Facility,Increase in Access to clean cooking fuel (LPG),Percentage of Households Electrified to Total Households,Per capita ultimate consumption of electricity,% completion of all weather Road Work under Pradhan Mantri Gram Sadak Yojana,Percentage of Swachha Bharat mission ( SBM  ) toilet,Percentage of ODF+ Cities ,Percentage of ODF++ Cities with less than 1 Lakh Population,Percentage of ODF+ Villages,Percentage of Water+ Cities,Percentage of Accident Spots Improved versus left to be improved,District Pavement Condition Index,Length in Km/100sq. km area,Wastage of Energy (Transmission & Distribution losses),Proportion of Anganwadis with Own Buildings,PIU Score,Rank
Ahmednagar,1.93,1.967,1.555,1.395,4.009,1.632,2.205,0.938,0.837,2.886,1.477,0.294,0.5,0.329,0,6.429,1.519,2.724,2.409,3.81,38.844,19
Akola,2.191,1.341,1.852,1.858,4.401,0.744,2.764,1.57,0.218,6.62,0.275,2.143,1,0.225,0,0,0.308,2.148,2.682,4.758,37.097,27
Amravati,2.217,1.413,1.252,2.557,5.395,1.228,2.755,1.587,0.335,6.282,0.495,0.719,0.98,0.684,0,,2.271,1.533,1.661,4.203,37.566,25
Chhatrapati Sambhaji Nagar,1.155,0.889,0.279,1.52,4.189,0.945,2.467,1.755,0.942,5.142,2.931,0.556,0.5,0.802,0,1.193,1.577,2.481,2.537,3.996,35.858,30
Beed,1.467,0.13,1.085,0.714,4.462,0.805,2.565,0,0.413,4.607,1.112,1.364,1,0.001,0,7.5,1.038,2.677,3.936,2.778,37.654,23
Bhandara,0.948,2.093,2.302,1.605,4.618,1.246,7.895,1.895,0.494,6.441,0.711,1.541,0.827,0.251,0,,2.895,3.675,0.939,4.959,45.336,2
Buldhana,0.638,0.096,1.339,2.439,5.209,1.462,4.155,1.283,0.295,6.493,2.061,0.83,2.049,0.416,0,,1.826,2.105,2.825,3.172,38.692,20
Chandrapur,3.024,1.557,1.381,1.258,4.514,1.683,2.487,0.157,0.333,5.008,2.522,1.111,1.353,0.404,0,3,2.192,2.118,0.743,4.652,39.499,16
Dhule,1.317,1.779,0.958,2.407,4.649,0.522,2.685,1.319,0.434,3.98,1.66,1,1,0.157,0,0.577,2.019,2.047,2.417,4.172,35.099,31
Gadchiroli,1.835,2.299,2.033,1.648,0,1.575,2.13,3.671,0.141,6.527,1.163,2.697,1.158,1.089,0,,1.136,1.498,2.123,3.995,36.719,28
Gondia,2.578,2.438,0.959,1.143,4.443,1.606,2.624,1.664,0.179,6.613,0.193,1.25,1.857,0.144,0,0,1.615,2.977,1.958,5,39.242,17
Hingoli,0.709,0.547,1.617,1.606,5.395,1.945,3.668,1.144,0.485,5.936,1.7,1.079,1.621,0.662,0,,1.358,2.18,3.416,4.697,39.765,15
Jalgaon,0.885,1.305,1.475,2.863,5.395,2.487,2.393,1.462,0.567,5.269,2.425,1.349,0.643,1.666,0,,2.049,0,3.137,4.547,39.917,13
Jalna,1.73,0.445,0.987,2.5,4.645,7.5,2.912,0.485,1.784,6.151,3.632,1.111,2.5,0.342,0,0,1.269,2.224,1.685,4.099,46.002,1
