Sector no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Agriculture & Allied Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Districts,Growth in Productivity  of Foodgrains and Oilseeds,Growth in Productivity of Horticulture Crops,Percentage of Area Under Horticulture Crops,Increase in Cold Storage Facility Centre (MT),Percentage of Area Under Micro Irrigation ,Percentage of Area Under Micro Irrigation ,Percentage Area Under Crop Insurance (Kharif Sown Area) - 2022-23,Percentage Area Under Crop Insurance (Rabi Sown Area),Cumulative Achievement of Disbursement of Crop Loans in Kharif and Rabi Seasons,% of farmers registered to FPOs / Coverage of FPOs ,Per Capita Milk Collection,Percentage of (Large and Small) Animals Vaccinated,Percentage of District-wise Irrigation Potential Created and Actual Irrigated Area in Maharashtra ('000 ha) ,Percentage Increase of Total Produce Transacted Through e-NAM Portal,Percentage Increase in Agricultural Credit as per Annual Credit Plan (ACP) made by District Level Banking Committee (DLBC),Percentage of Kisan Credit Card (KCC) Issued,Growth in Beneficiaries Receiving Funds Through Direct Benefit Transfer (DBT) for Farm Mechanization,% of Beneficiaries Received Funds for Drip Irrigation Through DBT Against Target,Percentage Achievement of District Annual Credit Plan ,% Achievement of Electrification of Agriculture Pumps (Solar),Total Irrigation Potential Created ,Percentage of Soil Health Card Distributed,Percentage of Digitization of Land Records Maps,% of Artificial Insemination,% of Primary Agricultural Credit Societies (PACS) Refered for Computerisation,Percentage of Total Area Under Foodgrains to Total Gross Cropped Area,Percentage of Net Area Sown to Total Geographical Area,AAS Score,Rank
Parbhani,2.312,0.097,0.1,0,1.116,5,2.153,0.975,2.5,1.806,0.026,0.819,0.455,0.258,1.702,5,2.5,2.5,1.654,2.447,2.145,5,0.589,1.108,0.841,0.813,25,68.917,1
Latur,0,2.5,0.047,0,1.089,5,2.5,1.676,1.068,2.483,0.127,1.905,0.508,0.2,1.898,4.176,1.447,2.5,2.212,2.116,0.857,5,0.03,1.429,2.071,2.772,22.035,67.646,2
Chhatrapati Sambhaji Nagar,1.605,0.281,0.441,0,0.954,5,1.243,0.222,1.005,0.938,0.197,1.197,1.576,0.155,1.752,3.683,2.359,2.5,3.285,2.299,0.75,5,5,0.847,1.108,0.494,22.124,66.015,3
Washim,1.073,0.037,0.178,0,2.195,5.096,1.697,0.721,0.814,4.387,,0.226,0.5,0,3.452,1.628,1.322,2.596,1.984,2.582,0.395,5.096,0.941,0.542,2.596,1.186,24.069,65.314,4
Akola,3.724,0.158,0.268,0,0.947,5,1.157,0.315,0.925,0.601,0.012,1.477,0.932,0.992,0.771,4.899,0.88,2.5,2.392,2.076,1.454,5,0,0.76,2.379,0.507,23.821,63.947,5
Nashik,2.374,0.344,2.5,0,1.167,5,0.438,0.117,0.828,1.976,0.354,1.157,1.168,0.813,2.291,3.063,1.632,2.5,1.989,2.398,1.169,5,5,1.112,1.478,2.195,15.162,63.225,6
Hingoli,4.145,0.038,0.621,0,0.96,5,1.649,0.479,0.865,0.794,0.072,1.396,1.647,0.329,2.12,2.922,1.683,2.5,1.712,2.425,0.523,5,0,1.165,0.913,1.313,22.384,62.657,7
Jalgaon,2.403,0.309,0.622,0,2.5,5,0.646,0.069,1.309,0.679,0.189,1.394,0.948,0.25,1.573,4.314,1.739,2.5,2.047,2.359,1.486,5,0,1.15,1.012,1.223,21.794,62.515,8
Solapur,1.646,0.271,0.757,0,1.264,5,1.17,0.157,1.168,0.484,0.992,1.165,1.504,0.223,1.965,2.259,2.49,2.5,2.394,2.066,2.344,5,0.496,0.756,1.07,2.981,19.697,61.82,9
Beed,0.939,2.266,0.31,0,0.907,5,2.099,2.5,0.977,0.553,0.3,1.368,0.423,0.104,1.671,2.418,2.265,2.5,1.935,2.381,1.351,5,0,0.886,0.683,0.885,22.072,61.792,10
