Sector no,3,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Human Resource Development,,,,,,,,,,,,,,,,,,,,,,,
Districts,Gender Parity Index at Secondary Level,Quality of Education,Retention rate at Higher Education Level,Retention rate at Secondary Level,Enrolment Ratio of Schedule Castes (SCs),Enrolment Ratio of Scheduled Tribes (STs),Pupil Teacher Ratio,"Percentage of Schools with drinking water, separate toilet and electricity Facilities",Percentage of Schools with Computers for pedagogical purposes,Percentage of Children served Mid-Day Meals,Percentage of ITI Students Trianed for All Courses,Engaged Seats for Apprentices,Gross Enrolment ratio at Higher Secondary (Male),Gross Enrolment ratio at Higher Secondary (Female),Percentage of Girl Enrolment (SSC),"Gross enrolment ratio (GER) of SC, ST and Other Backward Class (OBC) students- Secondary","Gross enrolment ratio (GER) of SC, ST and OBC students- Higher Secondary",Skill Training Imparted to youth,Percentage of trained youth got employment (self-employment +job) or employment ratio ,Male-Female ratio in skilling,Job fairs organized,Percentage Employment Provided from job fair,HRD Score,Rank
Ahmednagar,0,6.034,2.28,4.647,1.358,0.373,4.118,5.352,2.129,7.5,1.266,1.388,2.199,1.525,0.292,1.594,1.863,9.552,0.015,2.012,0.772,0.665,56.936,13
Akola,3.395,0.632,2.466,4.345,2.5,0.183,4.097,4.654,0.864,7.5,1.754,1.521,1.897,1.615,1.804,1.26,1.757,7.624,0.537,1.827,0.772,0.296,53.3,23
Amravati,3.732,3.046,1.892,3.213,1.772,0.61,4.164,6.164,0.111,7.5,1.525,1.891,1.055,1.343,1.641,1.196,1.215,2.519,0.343,2.343,1.265,0.641,49.182,31
Chhatrapati Sambhaji Nagar,1.501,5.632,0,4.351,1.594,0.154,4.804,7.02,1.231,7.5,1.255,1.662,2.433,1.693,0.657,1.947,2.063,4.334,0,1.989,1.389,0.465,53.674,21
Beed,0.133,7.011,1.762,3.335,1.495,0.058,3.409,1.793,0.392,7.5,0.967,1.15,2.436,1.542,0.11,1.47,1.99,5.042,0,1.066,1.08,0.297,44.037,35
Bhandara,4.403,0.69,1.925,1.265,1.494,0.23,4.176,6.537,0.53,7.5,1.625,1.272,2.416,2.093,1.788,1.401,2.257,7.512,0,1.704,1.08,0.403,52.3,27
Buldhana,1.029,2.356,2.5,5,2.112,0.173,4.925,6.206,0.487,7.5,1.314,1.91,1.511,1.181,0.893,1.492,1.346,6.382,0,1.747,0.772,0.513,51.35,29
Chandrapur,4.553,0.855,2.494,3.86,2.088,0.816,3.403,4.089,1.998,8.125,1.073,1.896,2.233,2.519,2.069,1.898,2.397,8.87,,,1.736,0.308,57.279,11
Dhule,1.625,7.126,2.327,4.592,0.392,1.407,5.915,5.971,0.623,7.5,0,0.362,0.949,0.651,0.238,1.052,0.801,7.821,2.471,1.892,0.772,0.322,54.809,20
Gadchiroli,5.509,0,3.071,5.322,1.272,1.835,2.354,0.166,0.026,8.289,1.863,,1.301,1.391,2.608,0.805,1.356,0.188,,,1.827,0.486,39.671,36
