district Name,score,rank
Parbhani,68.91680743,1
Latur,67.6463046,2
Chhatrapati Sambhajinagar,66.01526123,3
Washim,65.31360912,4
Akola,63.94653453,5
Nashik,63.22524288,6
Hingoli,62.65745463,7
Jalgaon,62.51501868,8
Solapur,61.81961055,9
Beed,61.79205963,10
Jalna,61.04582224,11
Sangli,59.22827272,12
Nagpur,59.2001529,13
Nanded,57.9710674,14
Amravati,57.50999031,15
Yavatmal,56.82711743,16
Buldhana,56.81474416,17
Pune,56.6384558,18
Dharashiv,55.76505252,19
Wardha,55.47195428,20
Kolhapur,54.69536428,21
Dhule,54.50687962,22
Satara,54.25268556,23
Bhandara,54.00253299,24
Nandurbar,51.67058993,25
Gondia,50.77360149,26
Raigad,49.53723841,27
Thane,47.6979089,28
Ahmednagar,47.08413897,29
Palghar,46.50670342,30
Chandrapur,46.11989511,31
Ratnagiri,40.39268004,32
Sindhudurg,40.02222214,33
Gadchiroli,35.52943227,34
Mumbai,11.69250476,35
Mumbai Suburban,9.480264666,36
