district Name,score,rank
Gondia,79.61018526,1
Nashik,68.51930697,2
Nagpur,61.84966843,3
Raigad,59.84529282,4
Mumbai,57.22170784,5
Jalgaon,56.34091091,6
Washim,52.80482021,7
Palghar,50.03282376,8
Mumbai Suburban,49.78276685,9
Akola,48.33351147,10
Gadchiroli,44.01537078,11
Parbhani,42.30533049,12
Jalna,38.84297794,13
Kolhapur,38.7104335,14
Ahmednagar,36.97894705,15
Thane,34.38703061,16
Ratnagiri,33.87686688,17
Buldhana,32.27556359,18
Bhandara,30.92924136,19
Amravati,30.81432372,20
Solapur,30.30753227,21
Pune,27.54392021,22
Chandrapur,27.46567796,23
Wardha,26.73866599,24
Satara,25.78361185,25
Sindhudurg,23.75397621,26
Beed,22.91962434,27
Yavatmal,22.63258783,28
Chhatrapati Sambhajinagar,22.29468906,29
Sangli,21.63222539,30
Dharashiv,20.12161209,31
Nandurbar,19.48377971,32
Nanded,19.08961254,33
Hingoli,13.66798813,34
Dhule,13.46064556,35
Latur,12.07237973,36
