district Name,score,rank
Raigad,57.74100902,1
Palghar,53.23337405,2
Pune,47.93968064,3
Thane,43.22544149,4
Mumbai,38.44319334,5
Kolhapur,38.25032903,6
Solapur,38.21612909,7
Mumbai Suburban,36.72261634,8
Dharashiv,36.61100777,9
Bhandara,35.81712428,10
Ratnagiri,35.77333878,11
Satara,33.81854863,12
Gadchiroli,33.49202434,13
Chhatrapati Sambhajinagar,33.43860485,14
Jalna,33.29404743,15
Nashik,32.25155134,16
Nagpur,31.91429714,17
Sindhudurg,31.74490048,18
Sangli,30.15546586,19
Ahmednagar,27.9245592,20
Hingoli,26.89840739,21
Latur,26.59153525,22
Chandrapur,26.40791028,23
Gondia,26.30202191,24
Wardha,25.00428823,25
Jalgaon,22.92976205,26
Yavatmal,22.59631319,27
Parbhani,22.11568698,28
Dhule,20.78416314,29
Beed,20.72332997,30
Amravati,20.26790948,31
Nanded,19.80044087,32
Washim,19.53946272,33
Akola,19.33907877,34
Nandurbar,18.51205803,35
Buldhana,13.21074525,36
