district Name,score,rank
Sangli,53.67695804,1
Kolhapur,53.35506143,2
Dhule,49.44904047,3
Solapur,49.07452494,4
Nagpur,48.76268569,5
Raigad,48.25675505,6
Satara,47.91555018,7
Pune,47.5448827,8
Washim,47.24143324,9
Hingoli,46.96476608,10
Nashik,46.93948249,11
Amravati,46.29139748,12
Chhatrapati Sambhajinagar,45.834581,13
Bhandara,44.35547288,14
Buldhana,43.40888429,15
Thane,43.08341394,16
Yavatmal,42.50246405,17
Nandurbar,42.25864368,18
Wardha,39.85948781,19
Jalna,38.36942551,20
Gondia,37.89471911,21
Nanded,37.72387717,22
Chandrapur,37.22059754,23
Ratnagiri,36.91595377,24
Sindhudurg,36.01025792,25
Latur,33.68235539,26
Gadchiroli,32.35105216,27
Palghar,31.93551339,28
Ahmednagar,30.76408877,29
Parbhani,30.71473564,30
Mumbai,30.17351116,31
Jalgaon,30.08976428,32
Akola,25.70761872,33
Dharashiv,22.94112939,34
Beed,19.78103025,35
Mumbai Suburban,10.90962009,36
