district Name,score,rank
Pune,69.75634413,1
Nashik,68.99926155,2
Gondia,64.91058668,3
Mumbai,60.31096386,4
Satara,60.04285454,5
Solapur,59.98304734,6
Nagpur,59.4342109,7
Sangli,58.93139545,8
Raigad,58.5958774,9
Kolhapur,57.90817833,10
Chandrapur,57.27942707,11
Ratnagiri,57.07757228,12
Ahmednagar,56.93565717,13
Latur,56.82991987,14
Yavatmal,56.57825468,15
Palghar,56.2692092,16
Thane,56.23228613,17
Parbhani,55.64134617,18
Dharashiv,55.0283284,19
Dhule,54.80949199,20
Chhatrapati Sambhajinagar,53.67436932,21
Washim,53.33629785,22
Akola,53.30045815,23
Nanded,52.87839007,24
Sindhudurg,52.86246516,25
Mumbai Suburban,52.60908683,26
Bhandara,52.3004192,27
Wardha,51.44421879,28
Buldhana,51.3498313,29
Nandurbar,51.18289924,30
Amravati,49.18210245,31
Jalgaon,49.00584723,32
Jalna,47.30154728,33
Hingoli,45.3670757,34
Beed,44.03706062,35
Gadchiroli,39.67051286,36
