district Name,score,rank
Nanded,65.61369108,1
Latur,64.88064423,2
Ahmednagar,64.08293409,3
Buldhana,63.47657774,4
Beed,63.38288097,5
Yavatmal,63.3326323,6
Gondia,62.73202296,7
Chhatrapati Sambhajinagar,62.29354509,8
Raigad,62.2065063,9
Pune,62.08271122,10
Palghar,62.01707639,11
Wardha,60.67372034,12
Bhandara,60.00628715,13
Amravati,59.84796874,14
Jalgaon,59.26646186,15
Solapur,59.03088145,16
Satara,58.78760696,17
Nashik,58.25477003,18
Kolhapur,57.90890708,19
Dharashiv,57.60185282,20
Jalna,57.23757866,21
Hingoli,57.14590313,22
Parbhani,55.44507764,23
Washim,54.92570437,24
Chandrapur,54.74927848,25
Akola,54.56594009,26
Ratnagiri,54.51098381,27
Dhule,53.97413393,28
Nagpur,53.35445744,29
Thane,52.42238793,30
Gadchiroli,51.32960976,31
Sangli,49.3299024,32
Sindhudurg,47.75853847,33
Mumbai Suburban,46.36300947,34
Nandurbar,42.07647565,35
Mumbai,39.72067037,36
