district Name,score,rank
Nagpur,46.6164359,1
Bhandara,46.57638195,2
Kolhapur,46.24914371,3
Nashik,44.77787137,4
Pune,43.98923457,5
Jalna,43.50223979,6
Washim,43.46690703,7
Wardha,43.42796666,8
Mumbai,42.72129408,9
Satara,42.62827564,10
Jalgaon,41.52482224,11
Sangli,40.56382338,12
Ahmednagar,40.3444521,13
Mumbai Suburban,40.03512847,14
Hingoli,39.4177129,15
Chandrapur,39.29283458,16
Palghar,39.29060512,17
Sindhudurg,38.98832787,18
Amravati,38.50169325,19
Beed,38.15406089,20
Gondia,38.02759233,21
Akola,37.59747205,22
Buldhana,37.48962635,23
Solapur,37.43179235,24
Yavatmal,37.41627636,25
Chhatrapati Sambhajinagar,37.35823339,26
Gadchiroli,37.29781298,27
Ratnagiri,36.80357637,28
Latur,36.78077032,29
Parbhani,36.13998471,30
Dhule,35.59911751,31
Dharashiv,34.19825359,32
Raigad,33.86130754,33
Nandurbar,32.88527505,34
Nanded,32.58289189,35
Thane,31.38294223,36
