intent,Question,Answer
76q1, What is the duty of the Collector in relation to demarcation of boundaries in areas under town planning schemes or improvement schemes?,"The duty of the Collector in relation to demarcation of boundaries in areas under town planning schemes or improvement schemes is to alter the boundaries fixed and demarcated under the provisions of the Maharashtra Land Revenue Code, 1966 to accord with the plots reconstituted or laid out under such schemes. The Collector may cause boundary marks to be erected, constructed, and laid out for this purpose."
76q2," What is the penalty for wilfully erasing, removing, or injuring a boundary mark or survey mark?","The penalty for wilfully erasing, removing, or injuring a boundary mark or survey mark is a fine not exceeding one hundred rupees for each mark that is erased, removed, or injured."
76q3," How can the State Government exempt certain villages or classes of villages from the provisions of Chapter X of the Maharashtra Land Revenue Code, 1966?","The State Government can exempt certain villages or classes of villages from the provisions of Chapter X of the Maharashtra Land Revenue Code, 1966 by issuing a notification in the Official Gazette."
76q4, What particulars are included in a record of rights maintained in every village?,"The particulars included in a record of rights maintained in every village are:

- The names of all persons (other than tenants) who are holders, occupants, owners, or mortgagees of the land or assignees of the rent or revenue thereof.
- The names of all persons who are holding as Government lessees or tenants, including tenants within the meaning of relevant tenancy law.
- The nature and extent of the respective interests of such persons and the conditions or liabilities, if any, attaching thereto.
- The rent or revenue, if any, payable by or to any of such persons.
- Such other particulars as prescribed by the State Government through rules made in this regard, either generally or for specific areas."
76q5," How should a person report their acquisition of rights as a holder, occupant, owner, mortgagee, landlord, Government lessee, or tenant of land to the Talathi?","A person acquiring rights as a holder, occupant, owner, mortgagee, landlord, Government lessee, or tenant of land should report their acquisition to the Talathi within three months from the date of such acquisition. This report can be made orally or in writing. The Talathi should then provide a written acknowledgment of the receipt of the report to the person making it."
77q1," What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 is a legal document that outlines regulations and procedures related to land revenue in the state of Maharashtra, India. It includes provisions regarding the registration of mutations (changes in ownership or rights), reporting requirements for acquiring rights, the role of the Talathi (revenue officer), and the resolution of disputes related to land ownership. The code also specifies rules for transferring entries from the register of mutations to the record of rights."
77q2, Who is responsible for reporting mutations to the Talathi according to the Code?,"According to the Maharashtra Land Revenue Code, 1966, the responsibility of reporting mutations to the Talathi lies with the person acquiring the right, unless they are a minor or otherwise disqualified, in which case their guardian or person in charge of their property should make the report. If the person acquires the right with the permission of the Collector or by virtue of a registered document, they are exempt from the obligation to report to the Talathi."
77q3, Under what circumstances is a person exempt from reporting a right acquired to the Talathi?,A person acquiring a right with the permission of the Collector or by virtue of a registered document is exempt from the obligation to report to the Talathi.
77q4, What rights are included in the definition mentioned in Explanation I of the Code?,"Explanation I of the Maharashtra Land Revenue Code, 1966 mentions that the rights include a mortgage without possession, but do not include an easement or a charge not amounting to a mortgage of the kind specified in section 100 of the Transfer of Property Act, 1882."
77q5, What is the role of the Talathi in registering mutations and disputed cases?,"The Talathi is responsible for entering reports of mutations in a register, posting a copy of the entry in a conspicuous place, and providing written intimation to all interested parties. Additionally, the Talathi must record objections to entries in a register of disputed cases and ensure that disputes are resolved within a year by a designated Revenue or Survey Officer. The Talathi plays a crucial role in the registration process and management of disputed cases related to mutations."
77q6, How are objections to entries in the register of mutations handled by the Talathi?,"When any objection to any entry made in the register of mutations is made either orally or in writing to the Talathi, it is the duty of the Talathi to enter the particulars of the objections in a register of disputed cases. The Talathi must give a written acknowledgment for the objection to the person making it in the prescribed form. Disputes entered in the register of disputed cases should be disposed of within one year by a Revenue or Survey Officer not below the rank of an Aval Karkun. Orders disposing of objections entered in the register of disputed cases shall be recorded in the register of mutations by the officer handling the case, following the rules prescribed by the State Government."
77q7, Who is responsible for disposing of disputes entered in the register of disputed cases?,Disputes entered in the register of disputed cases are disposed of by a Revenue or Survey Officer not below the rank of an Aval Karkun.
77q8, How are entries from the register of mutations transferred to the record of rights according to the Code?,Entries from the register of mutations are transferred to the record of rights subject to rules made by the State Government. The transfer is done after the entry has been duly certified.
77q9, What is the process for transferring entries from the register of mutations to the record of rights?,The transfer of entries from the register of mutations to the record of rights is subject to rules made by the State Government. An entry in the register of mutations cannot be transferred to the record of rights until it has been duly certified. The process for this transfer is governed by rules set by the State Government.
77q10," What is the significance of the Talathi in the implementation of the Maharashtra Land Revenue Code, 1966?","The Talathi plays a significant role in the implementation of the Maharashtra Land Revenue Code, 1966. They are responsible for maintaining a register of mutations, which includes recording reports of acquisitions or transfers of rights, as well as any objections to these entries. The Talathi must inform all interested parties of these mutations and objections. Additionally, disputes recorded in the register of disputed cases must be resolved within a year by a designated Revenue or Survey Officer. The Talathi's role is crucial in ensuring proper documentation and resolution of land-related matters as per the provisions of the Code."
78q1, What is the Maharashtra Land Revenue Code of 1966 about?,"The Maharashtra Land Revenue Code of 1966 is a legal document that outlines regulations related to land revenue, record-keeping, and obligations of individuals regarding land rights, interests, and liabilities in the state of Maharashtra, India. It includes provisions for maintaining registers of mutations, tenancies, and land records, as well as rules for furnishing information, producing documents, and issuing booklets containing copies of the record of rights pertaining to agricultural land. The code also specifies procedures for certification of entries, acknowledgments of information or documents provided, and the collection of fees for preparing and maintaining booklets."
78q2, Who is responsible for certifying entries in the register of mutations?,Entries in the register of mutations shall be certified by any Revenue or Survey Officer not below the rank of an Aval Karkun in such manner as may be prescribed.
78q3," What is the obligation of a person whose rights, interests, or liabilities are required to be entered in a record or register?","The obligation of a person whose rights, interests, or liabilities are required to be entered in a record or register is to furnish or produce, upon requisition by a Revenue Officer or Talathi, all necessary information or documents needed for the correct compilation or revision of the record or register within one month from the date of requisition."
78q4, How can a holder of agricultural land obtain a booklet containing a copy of the record of rights pertaining to their land?,"A holder of agricultural land can obtain a booklet containing a copy of the record of rights pertaining to their land by making a written application to the Talathi. Upon making the application, the Talathi will provide the booklet containing the necessary information as prescribed by the State Government. The booklet will include details about the land, payment of land revenue, cultivation details, and other relevant information. The process of obtaining and maintaining the booklet is governed by rules set by the State Government."
78q5, What information is included in the booklet provided to holders of agricultural land?,"The booklet provided to holders of agricultural land contains a copy of the record of rights pertaining to the land, information about the payment of land revenue and other government dues, details about the cultivation of the land, areas of crops sown, and any other matters as prescribed by the State Government."
78q6," Who can specify the storage device for preparation, maintenance, and updation of all registers and documents under section 148A?","The Commissioner can specify the storage device for preparation, maintenance, and updation of all registers and documents under section 148A."
78q7, What is the procedure for maintaining a register of tenancies as directed by the State Government?,The State Government may direct that a register of tenancies shall be maintained in such manner and under such procedure as may be prescribed by rules made by the State Government. The specific procedure for maintaining a register of tenancies would be outlined in the rules established by the State Government for this purpose.
78q8, How are entries in the register of mutations certified?,"Entries in the register of mutations are tested and, if found correct or after correction, they are certified by any Revenue or Survey Officer not below the rank of an Aval Karkun in a manner prescribed. Additionally, notice must be served on the parties concerned before certifying the entries."
78q9, What is the role of a Revenue Officer or Talathi in the compilation or revision of records or registers?,"The role of a Revenue Officer or Talathi in the compilation or revision of records or registers includes requisitioning information or documents needed for correct compilation or revision, giving a written acknowledgment of information or documents received, endorsing the date of production on documents, and providing booklets containing copies of the record of rights to holders of agricultural land upon application. They also maintain registers of mutations and tenancies as prescribed by the State Government."
78q10," What fees may be charged for preparing, issuing, and maintaining the booklet containing a copy of the record of rights for agricultural land holders?","The fees charged for preparing, issuing, and maintaining the booklet containing a copy of the record of rights for agricultural land holders may be specified in accordance with the rules made by the State Government. These fees may be retained by the Revenue Officer preparing, issuing, and maintaining the booklet, subject to any orders of the State Government."
79q1, What is the Maharashtra Land Revenue Code of 1966?,"The Maharashtra Land Revenue Code of 1966 is a legal document that outlines rules and regulations related to land revenue in the state of Maharashtra, India. It includes provisions regarding the preparation, maintenance, and correction of land records, fines for neglecting to provide information, and other matters related to land ownership and revenue collection."
79q2, What is the fine for neglecting to provide information or documents as required by the Code?,"The fine for neglecting to provide information or documents as required by the Maharashtra Land Revenue Code, 1966 is a maximum of five rupees, as specified in section 152 of the code."
79q3, How is the information related to the record of rights presumed to be under the Code?,"The information related to the record of rights, as per the Maharashtra Land Revenue Code, 1966, is presumed to be true until the contrary is proved or until the information is duly modified under the provisions of the Code and the rules made thereunder."
79q4, What powers can a Revenue Officer or Talathi exercise for preparing or revising maps or plans under the Code?,"A Revenue Officer or Talathi may, for the purpose of preparing or revising any map or plan required for or in connection with any record or register under the Maharashtra Land Revenue Code, exercise any of the powers of a Survey Officer under sections 80 and 81, except the power of assessing the cost of hired labor under section 81."
79q5, How are costs for the preparation or revision of maps or plans assessed and recoverable under the Code?,"Under the Maharashtra Land Revenue Code, costs for the preparation or revision of maps or plans can be assessed by any Revenue Officer of a rank not lower than an Assistant or Deputy Collector or a Survey Officer. These costs, including all contingent expenses, are assessed on the lands to which the maps or plans relate. The assessed costs are then recoverable as a revenue demand."
79q6, What is the requirement for notifying the Talathi and Tahsildar when a document related to land is registered under the Indian Registration Act?,"When any document purporting to create, assign, or extinguish any title to, or any charge on, land used for agricultural purposes, or in respect of which a record of rights has been prepared is registered under the Indian Registration Act, 1908, the officer registering the document is required to send intimation to the Talathi of the village in which the land is situated and to the Tahsildar of the taluka. This intimation should be sent in the form and at the times prescribed by rules made under the Maharashtra Land Revenue Code."
79q7, Who has the authority to correct clerical errors and errors in the record of rights or registers maintained under the Code?,The Collector has the authority to correct or cause to be corrected any clerical errors and errors in the record of rights or registers maintained under the Maharashtra Land Revenue Code.
79q8, What additional land records are required to be prepared for each village under the Code?,"In addition to the map, registers, and record of rights, the Maharashtra Land Revenue Code, 1966 requires that such other land records as may be prescribed need to be prepared for each village. The specific details of these additional land records are not provided in the context provided."
80q1," According to the Maharashtra Land Revenue Code, 1966, what is the presumption regarding entries in the record of rights and register of mutations?","According to the Maharashtra Land Revenue Code, 1966, an entry in the record of rights and a certified entry in the register of mutations shall be presumed to be true until the contrary is proved or a new entry is lawfully substituted therefor."
80q2, Can a suit be filed against the State Government or any officer of the State Government in relation to claims about entries in records or registers maintained under this Chapter?,"No, a suit cannot be filed against the State Government or any officer of the State Government in respect of a claim to have an entry made in any record or register that is maintained under this Chapter or to have any such entry omitted or amended."
80q3," What happens to the existing record of rights in force in an area until the record of rights of that area is prepared in accordance with the provisions of the Maharashtra Land Revenue Code, 1966?","Until the record of rights of any area in the State is prepared in accordance with the provisions of the Maharashtra Land Revenue Code, 1966, the existing record of rights in force in that area under any law for the time being in force shall be deemed to be the record of rights prepared under this Code."
80q4," What areas in the State are covered by the provisions of sections 161 to 167 of the Maharashtra Land Revenue Code, 1966?","The provisions of sections 161 to 167 of the Maharashtra Land Revenue Code, 1966 apply to those areas in the State to which corresponding provisions applied immediately before the commencement of this Code. Additionally, the State Government has the authority to apply these sections to other specified areas in the State through notification in the Official Gazette."
80q5," What is a Nistar Patrak and what matters are required to be provided in it according to the Maharashtra Land Revenue Code, 1966?","A Nistar Patrak is a document that embodies a scheme of management of all unoccupied land in a village and all matters incidental to it. According to the Maharashtra Land Revenue Code, 1966, the following matters are required to be provided in a Nistar Patrak:

1. The terms and conditions on which grazing of cattle in the village will be permitted.
2. The terms and conditions on which and the extent to which any resident of the village may obtain:
   (a) wood, timber, fuel, or any other forest produce.
   (b) moram, kankar, sand, earth, clay, stones, or any other minor minerals."
