Question,Answer
1. What is the Maharashtra Land Revenue Code of 1966 primarily concerned with?,"The Maharashtra Land Revenue Code of 1966 is primarily concerned with the division of the State into revenue areas and the constitution of those revenue areas, including districts, sub-divisions, talukas, circles, sazas, and villages."
2. How is the State divided for the purpose of the Maharashtra Land Revenue Code?,"The State of Maharashtra is divided into divisions, which consist of one or more districts (including the City of Bombay). Each district may consist of one or more sub-divisions, each sub-division may consist of one or more talukas, and each taluka may consist of certain villages."
3. What authority does the State Government have in terms of specifying revenue areas?,"The State Government has the authority to specify districts, sub-divisions, talukas, villages, and local areas that constitute revenue areas. They can also alter the limits of these areas through amalgamation, division, or in any other manner, as well as abolish any revenue area. Additionally, the State Government can name or alter the name of any revenue area."
4. How can the State Government alter the limits of revenue areas according to the Code?,"The State Government can alter the limits of revenue areas according to the Maharashtra Land Revenue Code, 1966, by issuing a notification in the Official Gazette. This notification can specify the districts, sub-divisions, talukas, villages, and local areas that constitute the revenue areas. The alteration can be done through amalgamation, division, or in any other manner specified in the notification. Additionally, the State Government can rename any revenue area, and references to the area under its original name will be deemed to refer to the area under the new name, unless expressly provided otherwise."
5. What is the significance of constituting wadis and villages outside the limits of gaothans under the Code?,"The significance of constituting wadis and villages outside the limits of gaothans under the Maharashtra Land Revenue Code is to officially recognize these areas as separate villages with their own distinct identities and administrative boundaries. This recognition allows for the proper governance, administration, and allocation of resources to these areas, ensuring that they receive the necessary attention and services from the government."
6. What role does the Collector play in arranging villages within a taluka according to the Code?,"The Collector, according to the Maharashtra Land Revenue Code of 1966, plays a role in arranging villages within a taluka to constitute a ""saza."" Additionally, the Collector can arrange the sazas in a taluka to constitute a ""circle."" The Collector also has the authority to alter the limits of, or abolish any saza or circle that has been constituted."
"7. How are existing divisions, districts, sub-divisions, talukas, circles, sazas, and villages affected by the implementation of the Code?","Existing divisions, districts, sub-divisions, talukas, circles, sazas, and villages at the commencement of the Maharashtra Land Revenue Code, 1966, continue under the names they bear unless altered under the provisions of the Code. The State Government has the authority to specify and alter the limits of these revenue areas by amalgamation, division, or in any other manner. Any renaming of areas will result in all references in laws or documents being deemed to refer to the area under its new name, unless expressly stated otherwise."
8. What conditions must be met for notifications or orders regarding revenue areas to be valid under the Code?,"Every notification or order made regarding revenue areas under the Maharashtra Land Revenue Code, 1966, must be subject to the condition of previous publication. Additionally, the provisions of section 24 of the Bombay General Clauses Act, 1904, shall apply in relation to such notifications or orders, as they apply in relation to rules to be made after previous publication."
"9. What amendments were made to the Maharashtra Land Revenue Code in 1981 and 1969, respectively?","In 1981, the Maharashtra Land Revenue Code was amended to include the City of Bombay within the districts. In 1969, an amendment was made to change the population requirement for an area outside the limits of the gaothan of a village to be considered a village from ""three hundred"" to a number that was substituted."
10. How does the Maharashtra Land Revenue Code ensure transparency and public input in the establishment and alteration of revenue areas?,"The Maharashtra Land Revenue Code ensures transparency and public input in the establishment and alteration of revenue areas by requiring the State Government to publish notifications in the Official Gazette specifying the districts, sub-divisions, talukas, villages, and local areas that constitute revenue areas. These notifications are subject to previous publication, allowing for public awareness and input. Additionally, any alterations to the revenue areas must be made through orders published in the prescribed manner, providing an opportunity for public scrutiny and feedback."
"1. Who is the Chief controlling authority in all matters connected with land revenue in a division according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the Chief controlling authority in all matters connected with land revenue in a division is the Commissioner, subject to the superintendence, direction, and control of the State Government."
2. What are the powers and duties of the Commissioner in a division as outlined in the Code?,"The powers and duties of the Commissioner in a division as outlined in the Maharashtra Land Revenue Code include being the chief controlling authority in all matters connected with land revenue in the division. The Commissioner operates subject to the superintendence, direction, and control of the State Government."
3. How are revenue officers appointed in a division according to the Code?,"In a division, revenue officers are appointed by the State Government. The State Government appoints a Commissioner for each division and may also appoint an Additional Commissioner and Assistant Commissioners as needed to assist the Commissioner. Additionally, the State Government appoints a Collector for each district within the division and a Tahsildar for each taluka."
4. What is the role of a Collector in a district as per the Code?,"As per the Maharashtra Land Revenue Code, the role of a Collector in a district is to be in charge of the revenue administration of that district. The Collector is responsible for overseeing the revenue administration and may appoint additional officers like Assistant Collectors, Deputy Collectors, Naib-Tahsildars, and other personnel to assist in the revenue-related matters within the district."
5. What additional officers can the State Government appoint in a district according to the Code?,"The State Government can appoint Additional Collectors, Assistant Collectors, Deputy Collectors, Naib-Tahsildars, Additional Tahsildars, Naib-Tahsildars, Circle Officers, Circle Inspectors, Talathis, Kotwals, and other village servants in a district according to the Maharashtra Land Revenue Code."
6. What are the designations of officers that the State Government may appoint for specific chapters outlined in the Code?,"For specific chapters outlined in the Maharashtra Land Revenue Code, the State Government may appoint officers with designations such as ""Settlement Commissioner"", ""Director of Land Records"", ""Deputy Director of Land Records"", ""Superintendents of Land Records"", ""Settlement Officers"", ""District Inspectors of Land Records"", and ""Survey Tahsildars"", or any other designations deemed requisite."
7. Is it lawful for the State Government to appoint one person to multiple offices or confer powers and duties of one officer to another within certain limits according to the Code?,"Yes, it is lawful for the State Government to appoint one and the same person to any two or more of the offices provided for in Chapter II of the Maharashtra Land Revenue Code, 1966. Additionally, the State Government can confer upon an officer of one denomination all or any of the powers or duties of any other officer within certain local limits or otherwise, as deemed expedient."
