intent,Question,Answer
66q1," What is the procedure for determining non-agricultural assessment of lands in non-urban areas according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the procedure for determining non-agricultural assessment of lands in non-urban areas involves the Collector dividing the village into two classes (Class I and Class II) based on market values of lands, considering factors like the situation of the lands, the non-agricultural purpose for which they are used, and the advantages and disadvantages attached to them. The lands in Class I are assessed at a rate not exceeding ten paise per square meter per year, while lands in Class II are assessed at a rate not exceeding five paise per square meter per year. The assessment should not be less than the agricultural assessment that may be leviable on such land."
66q2, How does the Collector classify villages in non-urban areas into Class I and Class II based on the market values of lands?,"The Collector classifies villages in non-urban areas into Class I and Class II based on the market values of lands, taking into consideration factors such as the situation of the lands, the non-agricultural purpose for which they are used, and the advantages and disadvantages associated with them. This classification is done through a notification in the Official Gazette, subject to the approval of the Commissioner."
66q3," What are the implications for areas of a village or group of villages that have been designated as ""urban areas"" under the Maharashtra Land Revenue Code (Amendment) Act, 2003?","Areas of a village or group of villages that have been designated as ""urban areas"" under the Maharashtra Land Revenue Code (Amendment) Act, 2003, will cease to be urban areas on the date of coming into force of the Act. They will be deemed to be Class I villages for the purposes of assessing non-agricultural assessment under the Code. However, this change does not affect any tax liabilities that have already been assessed and accrued prior to the date of the Act. Additionally, any taxes already levied and paid before the Act's date in respect of the notified urban area will not be refunded."
66q4, How does the Collector assess lands categorized as Class I and Class II in non-urban areas for their non-agricultural use?,"The Collector assesses lands falling in Class I according to the non-agricultural purpose for which they are used at a rate not exceeding ten paise per square meter per year. For lands falling in Class II, they are assessed at a rate not exceeding five paise per square meter per year. These assessments are based on the market value of the lands used for non-agricultural purposes, ensuring that the assessment is not less than the agricultural assessment that may be leviable on such land."
66q5, How does the Collector partition urban areas into blocks for the purpose of non-agricultural assessment?,"The Collector partitions urban areas into blocks based on the market value of lands, taking into consideration factors such as the situation of the lands, the non-agricultural purposes for which they are used, and the advantages and disadvantages associated with them."
66q6, What is the maximum percentage of the full market value that non-agricultural assessment on lands in each block in an urban area should not exceed?,The non-agricultural assessment on lands in each block in an urban area should not exceed three percent of the full market value when used as a building site.
66q7," Who has the authority to determine the standard rate of non-agricultural assessment in urban areas according to the Maharashtra Land Revenue Code, 1966?","The State Government has the authority to determine the standard rate of non-agricultural assessment in urban areas according to the Maharashtra Land Revenue Code, 1966."
66q8, How is the full market value of land estimated for the purpose of determining non-agricultural assessment in urban areas?,"The full market value of land for the purpose of determining non-agricultural assessment in urban areas is estimated based on the land rates as determined and issued in the form of the Annual Statement of rates by the Chief Controlling Revenue Authority under the Bombay Stamp (Determination of True Market Value of Property) Rules, 1995, framed under the Bombay Stamp Act, 1958."
66q9," What regulations govern the determination of the true market value of property for the purpose of non-agricultural assessment in urban areas according to the Maharashtra Land Revenue Code, 1966?","The determination of the true market value of property for the purpose of non-agricultural assessment in urban areas according to the Maharashtra Land Revenue Code, 1966, is based on the land rates determined and issued in the form of the Annual Statement of rates by the Chief Controlling Revenue Authority under the Bombay Stamp (Determination of True Market Value of Property) Rules, 1995, framed under the Bombay Stamp Act, 1958."
66q10," What changes have been made to the Maharashtra Land Revenue Code, 1966 regarding the assessment rates for lands in non-urban and urban areas?","The changes made to the Maharashtra Land Revenue Code, 1966 regarding the assessment rates for lands in non-urban and urban areas include the classification of villages into Class I and Class II based on market values, the assessment rates for lands in Class I and Class II, the division of urban areas into blocks, the limitation on non-agricultural assessment in urban areas not exceeding three percent of the full market value, and the power of the Collector to fix the standard rate of non-agricultural assessment. These changes were made through amendments like Mah. 21 of 2003, Mah. 24 of 2007, Mah. 23 of 1999, and others."
