Question,Answer
1. What is the title of the government act mentioned in the text?,"The title of the government act mentioned in the text is ""The Maharashtra Land Revenue Code, 1966."""
"2. In which year was the Maharashtra Land Revenue Code, 1966 enacted?","The Maharashtra Land Revenue Code, 1966 was enacted in the year 1966."
3. When was the act last modified as per the text?,"The Maharashtra Land Revenue Code was last modified up to the 26th of May, 2010, as per the text provided."
4. Who is responsible for printing the act in India?,"The act is printed in India by the Manager, Government Central Press, Mumbai, and published by the Director, Government Printing, Stationery, and Publications, Maharashtra State, Mumbai 400 004."
"5. Who is the Director of Government Printing, Stationery, and Publications in Maharashtra State?","I don't have the most recent information to provide the current Director of Government Printing, Stationery, and Publications in Maharashtra State."
6. What is the price of the printed copy of the act mentioned in the text?,The price of the printed copy of the act mentioned in the text is Rs. 20.00.
7. Where is the Government Central Press located?,"The Government Central Press is located in Mumbai, India."
8. What department does the Maharashtra Act No. XLI of 1966 fall under?,The Maharashtra Act No. XLI of 1966 falls under the Law and Judiciary Department of the Government of Maharashtra.
"9. What is the purpose of the Maharashtra Land Revenue Code, 1966?","The Maharashtra Land Revenue Code, 1966, is a piece of legislation that governs land revenue matters in the state of Maharashtra, India. It provides a legal framework for the assessment and collection of land revenue, as well as regulations related to land ownership, tenancy, and other land-related issues in the state."
10. How can individuals access a copy of the act for reference?,"Individuals can access a copy of the Maharashtra Land Revenue Code, 1966 by either purchasing it from the Government Printing, Stationery, and Publications department in Maharashtra State or by visiting a law library where it may be available for reference. Additionally, some government websites or legal databases may also provide access to the text of the act for reference purposes."
1. What is the title of the document mentioned in the text?,"The title of the document mentioned in the text is ""THE MAHARASHTRA LAND REVENUE CODE, 1966."""
"2. How is the State divided into revenue areas according to the Maharashtra Land Revenue Code, 1966?","The State is divided into revenue areas according to the Maharashtra Land Revenue Code, 1966 by the constitution of revenue areas as specified in Section 4 of the code."
3. What are the powers and duties of revenue officers as outlined in Chapter II of the code?,"The powers and duties of revenue officers as outlined in Chapter II of the Maharashtra Land Revenue Code, 1966 include the appointment of revenue officers, delegation of powers, temporary vacancies, subordination of officers, notification of appointments, and the conferral of powers by the State Government on other persons. Additionally, the chapter covers the powers and duties of survey officers, circle officers, etc., as well as the use of seals by these officers."
4. How can public moneys be recovered according to the provisions of the code?,"Public moneys can be recovered as arrears of revenue according to the provisions of the Maharashtra Land Revenue Code, 1966."
"5. What is the title of the State in all lands, public roads, etc., as stated in the code?","The title of the State in all lands, public roads, etc., as stated in the code is ""Title of State in all lands."""
6. How can an officer or person in jail secure their release according to the code?,"According to the Maharashtra Land Revenue Code, 1966, an officer or person in jail may secure their release by furnishing security."
7. What is the process for assigning lands for special purposes as per the code?,"As per the Maharashtra Land Revenue Code, 1966, lands can be assigned for special purposes, and once assigned, they cannot be used otherwise without the sanction of the Collector. The specific process for assigning lands for special purposes is not detailed in the provided content. For a detailed understanding of the process, it would be advisable to refer to the specific sections or provisions within the Maharashtra Land Revenue Code, 1966 that outline the procedure for assigning lands for special purposes."
"8. How are demands for money, papers, etc., to be communicated to the person concerned under the code?","Demands for money, papers, etc., under the Maharashtra Land Revenue Code, 1966, are required to be made known in writing to the person concerned. This means that the communication of such demands must be in written form to ensure clarity and documentation of the request."
