Question,Answer
"1. What actions can the Collector take after the expiry of a lease or mortgage period according to the Maharashtra Land Revenue Code, especially in cases where the occupancy vests in the State Government and needs to be disposed of? How does the Code address damages for the use and occupation of occupancies in certain cases, particularly in relation to Tribal-transferors who may have unlawfully transferred their land?","After the expiry of a lease or mortgage period, the Collector, according to the Maharashtra Land Revenue Code, can take the following actions:

1. The Collector may restore possession of the occupancy to the Tribal, either suo motu or on application made by the Tribal.
2. If it is noticed that any occupancy has been transferred in contravention of the Code, the Collector shall declare the transfer to be invalid. The occupancy, along with any standing crops, shall vest in the State Government free of all encumbrances.
3. The State Government may dispose of the occupancy in such a manner as it deems fit.

Regarding damages for the use and occupation of occupancies in certain cases, the Code addresses this by invalidating any transfer made in contravention of the law. The occupancy, along with any standing crops, will vest in the State Government, and the Tribal-transferor who unlawfully transferred the land may face consequences as determined by the Collector."
"2. Is the Collector bound by any existing laws, court decrees, or awards when it comes to the use and occupation of occupancies that have been transferred in contravention of the law, as outlined in the Maharashtra Land Revenue Code? How can the Collector restore possession to the Tribal in cases where an occupancy has been transferred unlawfully, and what is the process for the Tribal-transferor to purchase the land at the prescribed purchase price?","The Collector is not bound by any existing laws, court decrees, or awards when it comes to restoring possession of occupancies that have been transferred unlawfully in contravention of the Maharashtra Land Revenue Code. The Collector has the authority to restore possession to the Tribal either suo motu or upon application made by the Tribal in that behalf. 

In cases where an occupancy has been transferred unlawfully, the Collector may restore possession to the Tribal by taking action either on their own initiative or upon receiving an application from the Tribal.

Regarding the process for the Tribal-transferor to purchase the land at the prescribed purchase price, the Collector is required to give written notice to the Tribal-transferor, asking them to state within 90 days if they are willing to purchase the land. If the Tribal-transferor agrees to purchase the occupancy, they may be granted the land upon payment of the prescribed purchase price within the specified time frame."
"3. When was the Maharashtra Land Revenue Code enacted, and what specific steps can the Collector take to ensure that the total land held by a Tribal-transferor, whether as owner or tenant, does not exceed an economic holding of 6.48 hectares (16 acres) of jirayat land, or 3.24 hectares (8 acres) of seasonally irrigated land, or paddy or rice land, or 1.62 hectares (4 acres) of perennially irrigated land?","The Maharashtra Land Revenue Code was enacted before the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act of 1974. The Collector can take specific steps to ensure that the total land held by a Tribal-transferor does not exceed the economic holding by monitoring land transactions, verifying land ownership records, and potentially taking possession of land that exceeds the specified limits."
1. What is the timeframe within which the Collector must acknowledge an application for permission to use land for non-agricultural purposes?,The Collector must acknowledge an application for permission to use land for non-agricultural purposes within seven days.
2. Under what circumstances can the Collector return an application for permission to use land for non-agricultural purposes?,"The Collector can return an application for permission to use land for non-agricultural purposes if it is not made by the occupant or superior holder, or if the tenant's consent has not been obtained, or if the application is not in accordance with the prescribed form."
3. What are the consequences if the Collector fails to inform the applicant of their decision within the specified timeframe?,"If the Collector fails to inform the applicant of their decision within the specified timeframe, the permission applied for shall be deemed to have been granted. This is subject to any conditions prescribed in the rules made by the State Government in respect of such use."
4. What is the requirement for the person to whom permission is granted for non-agricultural use of land to inform the Tahsildar?,The person to whom permission is granted for non-agricultural use of land needs to inform the Tahsildar in writing through the village officers about the date on which the change of land use commenced within thirty days from that date.
5. What penalty may be imposed if the person fails to inform the Tahsildar within the specified timeframe?,"If the person fails to inform the Tahsildar within the specified timeframe, they may be liable to pay a fine as directed by the Collector, not exceeding five hundred rupees."
6. What is the process for obtaining a sanad when land is permitted to be used for a non-agricultural purpose?,"When the land is permitted to be used for a non-agricultural purpose, a sanad shall be granted to the holder thereof in the form prescribed under the rules. It shall be lawful for the Collector either of his own motion or on the application of a person affected by the error, to direct at any time the correction of any clerical or arithmetical error in the sanad arising from any accidental slip or omission."
7. Under what circumstances is permission not required for converting land for industrial use within specific zones outlined in regional and town planning schemes?,Permission is not required for converting land for industrial use within specific zones outlined in regional and town planning schemes if the development control regulations or rules framed under such Acts permit industrial use of the land.
1. What conditions must be met in order for a person to convert the use of land for industrial use or a special township project without requiring permission?,"In order for a person to convert the use of land for industrial use or a special township project without requiring permission, the following conditions must be met:

- The person intending to put the land to such use must have a clear title and proper access to the land.
- The person must ensure that the proposed use does not conflict with any existing Development plan.
- The land should not be reserved for any other public purpose.
- The land should not be notified for acquisition under specific Acts.
- The proposed industry or special township project should not be within certain distances from railway lines or high voltage transmission lines.
- There should be no contravention of any laws, rules, regulations, or orders related to various aspects like Coastal Regulation Zone, environment, public health, etc.

Additionally, the person must give intimation of the date on which the change of land use has commenced and provide other information to the Tahsildar within thirty days."
2. What are the restrictions in terms of proximity to railway lines and high voltage transmission lines for setting up an industry or special township project?,"The restrictions in terms of proximity to railway lines and high voltage transmission lines for setting up an industry or special township project are as follows:

1. The proposed industry or special township project should not come up within thirty meters of any railway line.
2. The proposed industry or special township project should not come up within fifteen meters of a high voltage transmission line."
